Material.ID,Formula,DOI,Crystal.System,Piezoelectric.Modulus,a,b,c,alpha,beta,gamma,Space.Group.Number,Space.Group.Symbol,CDM
mp-3775,Na2SiF6,10.1038/sdata.2015.53,Hexagonal,0.111996961,8.8025201,8.8025201,4.96761863,90,90,120.0000072,150,P321,1.0183
mp-17827,Nd3SiAgSe7,10.1038/sdata.2015.53,Hexagonal,0.911573061,10.7664337,10.7664337,6.075528,90,90,119.9999981,173,P6_3,1.0184
mp-504650,La3CuSiS7,10.1038/sdata.2015.53,Hexagonal,0.72633698,10.36158403,10.36158403,5.855492,90,90,120.0000002,173,P6_3,1.0167
mp-17944,NaCaAlF6,10.1038/sdata.2015.53,Trigonal,0.171571654,8.87635163,8.87635137,5.03968594,90,90,120.000001,150,P321,1.0113
mp-549720,NbI2O,10.1038/sdata.2015.53,Monoclinic,3.921081422,3.93794605,7.58408436,8.17005179,104.7376872,103.9364696,90.02934535,5,C2,1.0067
mp-554097,Sm3CuSiS7,10.1038/sdata.2015.53,Hexagonal,1.08057728,10.09574866,10.09574866,5.755167,90,90,120.0000043,173,P6_3,1.0065
mp-23843,LiHSeO3,10.1038/sdata.2015.53,Orthorhombic,0.10753,5.155102,5.370719,11.392608,90,90,90,19,P2_12_12_1,1.0059
mp-555318,K2Zn(SiO3)2,10.1038/sdata.2015.53,Orthorhombic,0.15702,5.80523165,5.80523165,10.567935,90,90,113.1936447,20,C222_1,1.0063
mp-559377,IOF3,10.1038/sdata.2015.53,Orthorhombic,0.27129,5.05358546,5.44579822,11.09163673,90,90,90,19,P2_12_12_1,1.0051
mp-1340,Ga2Se3,10.1038/sdata.2015.53,Monoclinic,0.213929029,6.72479408,6.69101335,6.79535988,80.88226342,60.34368505,71.3202606,9,Cc,0.5412
mp-23353,Cu2HgI4,10.1038/sdata.2015.53,Tetragonal,0.12872,7.62498415,7.62498415,7.62498415,132.9101809,132.9101809,68.79523858,121,I-42m,0.8491
mp-16577,Li2CaHfF8,10.1038/sdata.2015.53,Tetragonal,0.133831408,6.34374537,6.34374537,6.34374537,132.877211,132.877211,68.84704647,82,I-4,0.8484
mp-753854,Rb2PH3SeO8,10.1038/sdata.2015.53,Monoclinic,0.115746852,7.803969,7.745029,9.97892432,51.23092166,90,90,7,Pc,0.4843
mp-1189914,ZnSi(AgS2)2,10.1038/sdata.2015.53,Monoclinic,1.132148452,6.56602564,6.42762173,10.13643261,51.09300218,90,90,7,Pc,0.6228
mp-510011,La3CuGeSe7,10.1038/sdata.2015.53,Hexagonal,0.897976918,10.79110966,10.79110966,6.206082,90,90,119.9999979,173,P6_3,0.9962
mp-555186,Li2ZnSnS4,10.1038/sdata.2015.53,Monoclinic,0.911928529,6.79705,6.459176,10.31087305,51.10778504,90,90,7,Pc,0.633
mp-554150,Nd3CuGeS7,10.1038/sdata.2015.53,Hexagonal,1.202472136,10.20283226,10.20283226,5.869613,90,90,120.0000017,173,P6_3,0.9958
mp-31243,BaAs2,10.1038/sdata.2015.53,Monoclinic,0.400504654,6.65310157,6.6563629,12.74845931,90,90,104.2324487,7,Pc,0.9947
mp-555903,Al(IO3)3,10.1038/sdata.2015.53,Hexagonal,1.573204377,8.99652604,8.99665586,5.18950711,90,90,120.0000074,173,P6_3,0.9926
mp-27704,K3V5O14,10.1038/sdata.2015.53,Hexagonal,1.006063186,8.67523671,8.67523671,5.01041634,90,90,120.0000021,157,P31m,0.9911
mp-561104,Ga(IO3)3,10.1038/sdata.2015.53,Hexagonal,1.449313576,9.11239447,9.11216511,5.26513502,90,90,120.0000074,173,P6_3,0.9906
mp-29541,GaTeI7,10.1038/sdata.2015.53,Monoclinic,0.487755882,7.4153094,7.27583856,16.53131591,90,103.3628615,90,7,Pc,0.9905
mp-555978,Sm3CuGeS7,10.1038/sdata.2015.53,Hexagonal,1.604556851,10.06195624,10.06195624,5.81849433,90,90,120.0000019,173,P6_3,0.9897
mp-17486,Ho3CuSiS7,10.1038/sdata.2015.53,Hexagonal,1.670381831,9.84938868,9.84938868,5.703853,90,90,120.0000045,173,P6_3,0.988
mp-17155,La3AgSnSe7,10.1038/sdata.2015.53,Hexagonal,1.179032797,10.92425582,10.92425582,6.329839,90,90,119.9999989,173,P6_3,0.9873
mp-14193,K2ThF6,10.1038/sdata.2015.53,Hexagonal,0.373610475,6.55229769,6.55229836,3.80921491,90,90,119.9999957,189,P-62m,0.9834
mp-29877,K2ReH9,10.1038/sdata.2015.53,Hexagonal,0.248123761,9.5058138,9.50575318,5.53008987,90,90,119.9999957,189,P-62m,0.9825
mp-568638,Y3CuSiSe7,10.1038/sdata.2015.53,Hexagonal,1.628295964,10.36455035,10.36455035,6.032965,90,90,120.0000022,173,P6_3,0.9819
mp-8184,Li2ZnGeO4,10.1038/sdata.2015.53,Monoclinic,0.883954242,5.501216,5.122283,8.21744505,51.6478563,90,90,7,Pc,0.6353
mp-18741,RbLiCrO4,10.1038/sdata.2015.53,Trigonal,0.276563171,5.33865495,5.33865512,9.13413352,90,90,119.999999,159,P31c,0.977
mp-6253,KLiBeF4,10.1038/sdata.2015.53,Hexagonal,0.525420059,5.01477337,5.01477338,8.57052819,90,90,120.0000072,173,P6_3,0.9757
mp-13275,NaSrP,10.1038/sdata.2015.53,Hexagonal,0.271613845,7.66479957,7.66479908,4.48604454,90,90,119.9999957,189,P-62m,0.9754
mp-9775,NaSrAs,10.1038/sdata.2015.53,Hexagonal,0.214621051,7.82717363,7.82717454,4.58468176,90,90,120.0000004,189,P-62m,0.9744
mp-18353,Cs2Mo3SeO12,10.1038/sdata.2015.53,Hexagonal,0.489245486,7.32227198,7.32227153,12.4921409,90,90,119.9999977,173,P6_3,0.9736
mp-14659,KAsSe2,10.1038/sdata.2015.53,Monoclinic,0.665263316,6.66984203,6.66969516,12.77246192,100.3900086,100.4489106,108.0543052,9,Cc,0.969
mp-510566,La3CuSnS7,10.1038/sdata.2015.53,Hexagonal,1.513443376,10.35529342,10.35529342,6.105283,90,90,119.9999963,173,P6_3,0.9666
mp-13703,Al4CO4,10.1038/sdata.2015.53,Orthorhombic,0.678970545,5.13861225,5.13861163,9.08764383,90,90,112.1985966,36,Cmc2_1,0.9659
mp-540574,Cs2Hg3I8,10.1038/sdata.2015.53,Monoclinic,0.229068387,7.4939312,7.89002477,11.79150915,83.94675754,71.479824,70.80189082,8,Cm,0.7212
mp-28261,Na4SnO3,10.1038/sdata.2015.53,Monoclinic,0.531482975,5.78080872,5.84671795,8.7700145,83.51603032,70.75682821,69.96249469,9,Cc,0.707
